"No.","Time","Source","Destination","Protocol","Length","Info"
"51","12.939713","131.243.29.227","131.243.141.187","TCP","62","1031 > ncp [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"52","12.940838","131.243.141.187","131.243.29.227","TCP","62","ncp > 1031 [SYN, ACK] Seq=0 Ack=1 Win=6144 Len=0 MSS=1460 SACK_PERM=1"
"53","12.975566","131.243.29.227","131.243.141.187","TCP","60","1031 > ncp [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"54","12.989433","131.243.29.227","131.243.141.187","TCP","95","1031 > ncp [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=41"
"55","12.990558","131.243.141.187","131.243.29.227","TCP","70","ncp > 1031 [PSH, ACK] Seq=1 Ack=42 Win=6103 Len=16"
"56","13.028534","131.243.29.227","131.243.141.187","TCP","80","1031 > ncp [PSH, ACK] Seq=42 Ack=17 Win=64224 Len=26"
"57","13.029533","131.243.141.187","131.243.29.227","TCP","75","ncp > 1031 [PSH, ACK] Seq=17 Ack=68 Win=6077 Len=21"
"58","13.068134","131.243.29.227","131.243.141.187","TCP","80","1031 > ncp [PSH, ACK] Seq=68 Ack=38 Win=64203 Len=26"
"59","13.069383","131.243.141.187","131.243.29.227","TCP","198","ncp > 1031 [PSH, ACK] Seq=38 Ack=94 Win=6051 Len=144"
"60","13.124350","131.243.29.227","131.243.141.187","TCP","84","1031 > ncp [PSH, ACK] Seq=94 Ack=182 Win=64059 Len=30"
"61","13.125475","131.243.141.187","131.243.29.227","TCP","150","ncp > 1031 [PSH, ACK] Seq=182 Ack=124 Win=6021 Len=96"
"62","13.175069","131.243.29.227","131.243.141.187","TCP","81","1031 > ncp [PSH, ACK] Seq=124 Ack=278 Win=63963 Len=27"
"63","13.176193","131.243.141.187","131.243.29.227","TCP","170","ncp > 1031 [PSH, ACK] Seq=278 Ack=151 Win=5994 Len=116"
"64","13.231285","131.243.29.227","131.243.141.187","TCP","110","1031 > ncp [PSH, ACK] Seq=151 Ack=394 Win=63847 Len=56"
"65","13.232659","131.243.141.187","131.243.29.227","TCP","90","ncp > 1031 [PSH, ACK] Seq=394 Ack=207 Win=5938 Len=36"
"66","13.276507","131.243.29.227","131.243.141.187","TCP","102","1031 > ncp [PSH, ACK] Seq=207 Ack=430 Win=63811 Len=48"
"67","13.277882","131.243.141.187","131.243.29.227","TCP","470","ncp > 1031 [PSH, ACK] Seq=430 Ack=255 Win=5890 Len=416"
"68","13.381068","131.243.29.227","131.243.141.187","TCP","194","1031 > ncp [PSH, ACK] Seq=255 Ack=846 Win=63395 Len=140"
"69","13.382442","131.243.141.187","131.243.29.227","TCP","130","ncp > 1031 [PSH, ACK] Seq=846 Ack=395 Win=5750 Len=76"
"70","13.445653","131.243.29.227","131.243.141.187","TCP","152","1031 > ncp [PSH, ACK] Seq=395 Ack=922 Win=63319 Len=98"
"71","13.447277","131.243.141.187","131.243.29.227","TCP","416","ncp > 1031 [PSH, ACK] Seq=922 Ack=493 Win=5652 Len=362"
"72","13.534725","131.243.29.227","131.243.141.187","TCP","118","1031 > ncp [PSH, ACK] Seq=493 Ack=1284 Win=62957 Len=64"
"73","13.536098","131.243.141.187","131.243.29.227","TCP","170","ncp > 1031 [PSH, ACK] Seq=1284 Ack=557 Win=5588 Len=116"
"74","13.713990","131.243.141.187","131.243.29.227","TCP","170","[TCP Retransmission] ncp > 1031 [PSH, ACK] Seq=1284 Ack=557 Win=5588 Len=116"
"75","13.744722","131.243.29.227","131.243.141.187","TCP","1290","1031 > ncp [PSH, ACK] Seq=557 Ack=1400 Win=62841 Len=1236"
"76","13.749468","131.243.141.187","131.243.29.227","TCP","426","ncp > 1031 [PSH, ACK] Seq=1400 Ack=1793 Win=4352 Len=372"
"77","13.762460","131.243.29.227","131.243.141.187","TCP","60","[TCP Dup ACK 75#1] 1031 > ncp [ACK] Seq=1793 Ack=1400 Win=62841 Len=0"
"78","13.843661","131.243.29.227","131.243.141.187","TCP","152","1031 > ncp [PSH, ACK] Seq=1793 Ack=1772 Win=64240 Len=98"
"79","13.845534","131.243.141.187","131.243.29.227","TCP","496","ncp > 1031 [PSH, ACK] Seq=1772 Ack=1891 Win=4254 Len=442"
"80","13.951844","131.243.29.227","131.243.141.187","TCP","102","1031 > ncp [PSH, ACK] Seq=1891 Ack=2214 Win=63798 Len=48"
"81","13.953343","131.243.141.187","131.243.29.227","TCP","470","ncp > 1031 [PSH, ACK] Seq=2214 Ack=1939 Win=4206 Len=416"
"82","14.051409","131.243.29.227","131.243.141.187","TCP","152","1031 > ncp [PSH, ACK] Seq=1939 Ack=2630 Win=63382 Len=98"
"83","14.053157","131.243.141.187","131.243.29.227","TCP","416","ncp > 1031 [PSH, ACK] Seq=2630 Ack=2037 Win=4108 Len=362"
"84","14.139854","131.243.29.227","131.243.141.187","TCP","114","1031 > ncp [PSH, ACK] Seq=2037 Ack=2992 Win=63020 Len=60"
"85","14.142603","131.243.141.187","131.243.29.227","TCP","206","ncp > 1031 [PSH, ACK] Seq=2992 Ack=2097 Win=4048 Len=152"
"86","14.262779","131.243.29.227","131.243.141.187","TCP","546","1031 > ncp [PSH, ACK] Seq=2097 Ack=3144 Win=62868 Len=492"
"87","14.270899","131.243.141.187","131.243.29.227","TCP","82","ncp > 1031 [PSH, ACK] Seq=3144 Ack=2589 Win=3556 Len=28"
"94","14.537612","131.243.141.187","131.243.29.227","TCP","82","[TCP Retransmission] ncp > 1031 [PSH, ACK] Seq=3144 Ack=2589 Win=3556 Len=28"
"95","14.575213","131.243.29.227","131.243.141.187","TCP","60","1031 > ncp [ACK] Seq=2589 Ack=3172 Win=62840 Len=0"
"96","14.575462","131.243.29.227","131.243.141.187","TCP","60","[TCP Dup ACK 95#1] 1031 > ncp [ACK] Seq=2589 Ack=3172 Win=62840 Len=0"
"115","25.734890","128.3.162.79","131.243.31.19","TCP","60","device2 > netbios-ssn [SYN] Seq=0 Win=8192 Len=0 MSS=1460"
"117","29.013136","128.3.162.79","131.243.31.19","TCP","60","[TCP Retransmission] device2 > netbios-ssn [SYN] Seq=0 Win=8192 Len=0 MSS=1460"
"123","33.059661","198.125.133.14","128.3.164.15","TCP","86","cma > imaps [PSH, ACK] Seq=1 Ack=1 Win=16568 Len=32"
"124","33.062658","128.3.164.15","198.125.133.14","TCP","93","imaps > cma [PSH, ACK] Seq=1 Ack=33 Win=25200 Len=39"
"125","33.105257","198.125.133.14","128.3.164.15","TCP","101","cma > imaps [PSH, ACK] Seq=33 Ack=40 Win=16529 Len=47"
"126","33.107007","128.3.164.15","198.125.133.14","TCP","156","imaps > cma [PSH, ACK] Seq=40 Ack=80 Win=25200 Len=102"
"127","33.154852","198.125.133.14","128.3.164.15","TCP","106","cma > imaps [PSH, ACK] Seq=80 Ack=142 Win=16427 Len=52"
"128","33.156852","128.3.164.15","198.125.133.14","TCP","140","imaps > cma [PSH, ACK] Seq=142 Ack=132 Win=25200 Len=86"
"131","33.362850","198.125.133.14","128.3.164.15","TCP","60","cma > imaps [ACK] Seq=132 Ack=228 Win=17640 Len=0"
"154","35.575746","128.3.162.79","131.243.31.19","TCP","60","[TCP Port numbers reused] device2 > netbios-ssn [SYN] Seq=0 Win=8192 Len=0 MSS=1460"
"162","40.107477","131.243.31.19","128.3.162.79","TCP","93","and-lm > netbios-ssn [PSH, ACK] Seq=1 Ack=1 Win=65007 Len=39"
