Time,Length
7.363762000,75
7.387374000,74
7.407112000,62
7.411109000,74
7.430972000,60
7.435469000,191
7.466950000,1314
7.511298000,1314
7.547276000,126
7.571511000,154
7.595497000,130
7.619738000,146
7.643218000,138
7.842722000,60
18.539337000,97
18.571323000,93
18.591180000,60
18.611417000,60
18.779194000,107
18.802932000,60
51.587348000,107
51.806843000,60
57.363458000,134
57.394939000,60
58.419197000,112
58.614696000,60
80.294752000,133
80.330606000,128
80.358963000,128
80.387071000,128
80.546474000,60
81.750866000,128
81.783347000,128
81.938876000,141
82.210711000,60
82.218956000,60
82.263179000,145
82.271180000,128
82.295166000,143
82.315022000,128
82.502790000,142
82.650570000,60
90.323276000,145
90.351014000,153
90.418840000,60
90.479305000,145
90.507162000,154
90.543390000,142
90.659323000,94
90.683556000,99
90.862445000,60
95.275392000,156
95.311113000,165
95.375075000,99
95.403932000,145
95.430920000,162
95.483009000,156
95.510998000,128
95.539350000,156
95.567088000,156
95.595071000,156
95.623050000,156
95.650906000,145
95.679141000,162
95.726991000,145
95.755343000,162
95.803315000,145
95.831547000,162
95.875275000,133
95.903004000,128
95.972212000,156
96.019932000,156
96.171090000,60
102.983196000,133
103.011183000,141
103.210806000,60
103.218926000,60
103.231294000,145
103.267277000,162
103.351220000,156
103.379454000,156
103.408312000,151
103.815063000,145
103.851416000,162
103.955353000,156
103.983211000,156
104.011194000,166
104.047296000,156
104.079658000,156
104.107511000,165
104.143738000,99
104.171727000,146
104.259042000,142
104.279906000,60
104.286906000,142
104.303516000,145
104.451426000,163
104.474912000,184
104.495774000,145
104.503270000,184
104.524632000,163
104.535625000,184
104.570734000,145
104.579598000,184
104.598961000,163
104.662922000,60
104.667045000,145
104.703904000,145
104.822950000,212
104.851183000,212
104.880040000,212
104.886785000,184
104.907152000,212
104.910896000,184
104.935257000,145
104.990723000,60
104.994846000,139
105.023204000,151
105.091037000,62
105.110650000,60
105.118895000,1314
105.159620000,60
105.183106000,60
105.186978000,60
105.190975000,206
105.202969000,60
105.235075000,123
105.314775000,149
105.355008000,194
105.423462000,117
105.451193000,226
105.495665000,99
105.523523000,212
105.555629000,128
105.583993000,212
105.612096000,212
105.619715000,184
105.639453000,212
105.666937000,60
105.672310000,212
105.699417000,221
105.743518000,142
105.771004000,99
105.871187000,206
105.919157000,149
105.955386000,194
105.987117000,184
105.995985000,117
106.026966000,60
106.034963000,226
106.078935000,99
106.111422000,184
106.175377000,184
106.203734000,184
106.231093000,184
106.259332000,184
106.287308000,193
106.352269000,142
106.451213000,99
106.582504000,60
106.607365000,212
106.639345000,212
106.667578000,212
106.695560000,212
106.723043000,212
106.752526000,212
106.783632000,184
106.811365000,218
106.891440000,206
106.967276000,149
107.003124000,194
107.042849000,117
107.124550000,226
107.167149000,99
107.199254000,145
107.371524000,151
107.427871000,145
107.455347000,190
107.507197000,184
107.534924000,218
107.779276000,184
107.835117000,218
107.895456000,221
107.934931000,130
107.962789000,174
107.991022000,117
108.042865000,60
108.046988000,60
108.051616000,117
108.087339000,117
108.127065000,60
108.131187000,60
108.139558000,117
108.179033000,60
108.188027000,60
108.191775000,117
108.226754000,60
108.230877000,60
108.239246000,99
108.267979000,221
108.307204000,130
108.335188000,174
108.362927000,99
108.390904000,221
108.431379000,117
108.467232000,60
108.478600000,60
108.483223000,130
108.510956000,117
108.547184000,130
108.575042000,117
108.611019000,60
108.619141000,60
108.623012000,117
108.659008000,60
108.663115000,60
108.667361000,206
108.710834000,62
108.886852000,60
109.187051000,62
109.690612000,62
109.711226000,212
109.739957000,212
109.768690000,212
109.795425000,212
109.822908000,190
109.875378000,184
109.903484000,218
110.026783000,130
110.055141000,212
110.083249000,212
110.110982000,117
110.146835000,60
110.150464000,60
110.156329000,130
110.183313000,130
110.211174000,174
110.323228000,117
110.358707000,60
110.362953000,60
110.367828000,117
110.414554000,1314
110.463154000,1314
110.506491000,1314
110.540845000,1314
110.593188000,1314
110.632796000,1314
110.670766000,754
110.705870000,1146
110.739349000,212
110.771830000,212
110.834416000,117
110.874893000,60
110.878515000,60
