Time,Length
0.719422000,60
1.639364000,60
2.619392000,91
2.620647000,87
2.621390000,82
2.700474000,90
2.706839000,1434
2.706847000,1041
2.712585000,82
2.733323000,90
2.734576000,99
2.735446000,82
2.737445000,86
2.738698000,86
2.739944000,86
2.741067000,86
2.742317000,86
2.743442000,86
2.744816000,86
2.745978000,86
2.747189000,86
2.748437000,86
2.750562000,144
2.752064000,86
2.753310000,86
2.754684000,86
2.756183000,86
2.757563000,86
2.758932000,86
2.760181000,86
2.761556000,86
2.762929000,86
2.764304000,86
2.765678000,86
2.767052000,86
2.768426000,86
2.769800000,86
2.771299000,86
3.619915000,60
8.689324000,60
13.983976000,139
14.079168000,60
14.539638000,82
14.542136000,661
15.889068000,60
16.809007000,60
17.699590000,60
18.529085000,60
20.444920000,90
20.446794000,373
20.448798000,110
20.450291000,110
21.428946000,60
22.779751000,82
22.781622000,82
22.813104000,90
22.814228000,87
22.815227000,82
22.816101000,82
22.816850000,82
22.817600000,82
22.818353000,82
22.819104000,82
22.819724000,82
22.820473000,82
22.821223000,82
22.821972000,82
22.822722000,82
22.823347000,82
22.824099000,82
22.824846000,82
22.825595000,82
22.829598000,85
22.832216000,85
24.758920000,60
27.058894000,60
32.518821000,67
38.976517000,82
39.538674000,60
44.129131000,60
46.729047000,60
51.258547000,60
52.448449000,60
52.648446000,60
54.008373000,60
59.798220000,60
60.718285000,60
61.638225000,60
62.898215000,60
63.618145000,60
68.688060000,60
74.648057000,60
75.887928000,60
76.807992000,60
77.697951000,60
78.527949000,60
81.427806000,60
84.757779000,60
87.057755000,60
92.517682000,67
99.107546000,60
99.537540000,60
104.127366000,60
106.727409000,60
111.257780000,60
112.447303000,60
112.647312000,60
112.981478000,90
113.023328000,1434
113.023452000,1434
113.023584000,851
113.114028000,82
113.171238000,90
113.267179000,60
113.337016000,1434
113.337032000,1434
113.337141000,683
113.343014000,1434
113.343030000,748
113.447194000,60
113.590108000,1434
113.590232000,1434
113.590357000,1109
113.596236000,1434
113.596253000,166
113.707286000,60
114.007229000,60
114.590628000,1434
114.590753000,1434
114.590877000,1203
114.597122000,1356
114.707177000,60
114.783260000,1434
114.783381000,1434
114.783505000,1434
114.783513000,80
114.789502000,1141
114.897187000,60
114.914800000,1434
114.915054000,1434
114.915178000,1434
114.915194000,159
114.931666000,82
115.556915000,143
115.559034000,84
115.561907000,84
115.564784000,143
115.578040000,84
115.582644000,84
115.585518000,143
115.587891000,84
115.591014000,143
115.602507000,84
115.605385000,84
115.607879000,84
115.610633000,143
115.623870000,143
115.632739000,84
115.636487000,84
115.640859000,84
115.643740000,143
115.648979000,84
115.651603000,84
115.653601000,84
115.656350000,143
115.658474000,84
115.664345000,84
115.667593000,84
115.670466000,84
115.672596000,84
115.682209000,84
115.684353000,84
115.686331000,84
115.692578000,84
115.694826000,84
115.697199000,84
115.700698000,84
115.708952000,84
115.711566000,84
115.714189000,84
115.716326000,84
115.719687000,84
115.721685000,84
115.723559000,84
115.726432000,84
115.728562000,84
115.735676000,84
115.738050000,84
115.741051000,84
115.753542000,143
115.756039000,143
115.760162000,84
115.772035000,84
115.776901000,84
115.779774000,143
115.781898000,84
115.784905000,143
115.788644000,143
115.797014000,84
115.804635000,143
115.806384000,84
115.808507000,84
115.811005000,84
115.812760000,84
115.816627000,143
115.823248000,84
115.825378000,84
115.829994000,143
115.832867000,84
115.835490000,84
115.837990000,143
115.839738000,84
115.843865000,84
115.847108000,84
115.850112000,84
115.853356000,84
115.856734000,84
115.859477000,84
115.861350000,84
115.863730000,84
115.865597000,84
115.867471000,82
115.875348000,84
115.877341000,90
115.877840000,84
115.878465000,99
115.879464000,82
115.885460000,84
115.887834000,84
115.889715000,84
115.891582000,84
115.892081000,91
115.893331000,87
115.893962000,84
115.894461000,82
115.895485000,82
115.897078000,82
115.898077000,82
115.899077000,82
115.900076000,82
115.900951000,82
115.901950000,82
115.902953000,82
115.903824000,82
115.904823000,82
115.905948000,82
115.906447000,84
115.913068000,84
115.915567000,84
115.920570000,84
115.923187000,84
115.935055000,84
115.939307000,84
115.942551000,84
115.944929000,84
115.949421000,84
115.952045000,84
115.955174000,84
115.957041000,84
115.959665000,84
115.961793000,84
115.963788000,84
115.967286000,84
115.971908000,84
115.973801000,84
115.976530000,84
115.978783000,84
115.980781000,84
115.982775000,84
115.990147000,84
115.992900000,84
115.996018000,84
115.998147000,84
116.000272000,84
116.008015000,84
116.011009000,84
116.013882000,84
116.020128000,84
116.024001000,84
116.031747000,84
116.039016000,84
116.041615000,84
116.052233000,84
116.054238000,84
116.058230000,84
116.061853000,84
116.070972000,84
116.073974000,84
116.076227000,84
116.081597000,84
116.085838000,84
116.092588000,84
116.094833000,84
116.110449000,143
116.112947000,84
116.117319000,84
116.122071000,143
116.124815000,143
116.130311000,84
116.136186000,84
116.174284000,90
116.733444000,86
116.739946000,86
119.797204000,60
120.717144000,60
121.637085000,60
122.897068000,60
123.617130000,60
124.995042000,86
124.997791000,86
128.686920000,60
130.748291000,247
130.786773000,90
130.796770000,1434
130.796787000,1434
130.796891000,1434
130.796906000,195
130.811751000,82
130.824869000,90
130.840234000,461
130.841986000,82
130.843482000,84
130.845855000,604
130.848979000,139
130.850728000,272
130.852611000,84
130.854981000,272
130.856724000,84
130.858223000,84
130.860347000,604
130.862471000,139
130.869738000,90
130.877592000,90
130.878836000,99
130.880085000,82
130.882709000,91
130.884460000,87
130.886082000,82
134.650797000,60
135.886793000,60
137.697062000,60
138.526807000,60
141.426667000,60
144.756641000,60
147.056620000,60
152.516548000,67
159.106407000,60
164.126227000,60
166.726276000,60
169.495960000,91
169.497083000,87
169.498090000,82
169.533311000,90
169.539183000,1434
169.539191000,583
169.546053000,82
169.565667000,90
169.566916000,99
169.567790000,82
171.256139000,60
172.446164000,60
172.496633000,1252
172.606191000,604
172.609314000,661
172.611812000,661
172.614567000,661
172.617190000,661
172.619560000,139
172.646071000,60
174.006095000,60
174.620465000,1252
176.036104000,60
177.769300000,227
