Time,Length
3.634274000,180
3.787930000,306
3.988059000,306
4.187812000,180
8.693571000,180
8.887457000,306
9.087706000,432
13.703771000,180
13.887034000,306
14.087038000,306
14.286791000,180
18.667250000,180
18.786554000,306
18.986436000,180
19.186560000,306
23.626733000,202
23.786511000,602
23.986514000,624
24.186268000,432
28.644687000,180
28.785594000,306
28.985472000,306
29.185356000,180
33.467994000,202
33.585301000,328
33.785304000,432
33.985304000,432
34.184933000,180
38.664589000,180
38.784512000,180
38.984761000,432
39.184518000,180
43.673284000,180
43.783965000,180
43.984350000,432
44.183972000,180
48.631516000,180
48.783681000,306
48.983551000,180
49.183685000,306
51.401205000,202
51.583849000,454
53.690687000,180
53.883194000,306
54.083198000,306
54.282951000,180
58.652917000,180
58.782837000,306
58.982969000,180
59.182720000,306
63.609400000,180
63.782295000,306
63.982424000,432
68.226590000,180
68.381871000,306
68.674817000,180
68.781627000,180
68.981505000,180
73.645422000,180
73.781334000,306
73.981462000,306
74.181092000,180
78.641752000,180
78.780671000,180
78.981045000,432
79.180549000,180
83.614475000,202
83.780624000,476
83.980752000,624
84.180505000,432
84.380133000,180
88.685389000,180
88.879901000,306
89.080023000,432
93.440874000,202
93.579410000,202
93.779913000,684
93.979541000,432
98.690425000,180
98.881933000,306
99.081812000,306
99.281690000,180
103.699126000,180
103.881391000,306
104.081398000,306
104.281147000,180
108.164409000,180
108.280963000,306
108.661856000,180
108.780790000,180
108.980788000,180
111.390196000,202
111.580830000,328
111.832177000,180
113.574117000,180
113.680552000,306
113.880305000,180
114.080453000,306
118.630165000,180
118.779959000,306
118.980082000,306
119.178831000,180
123.196262000,180
123.379524000,306
123.694208000,180
123.879471000,306
128.605616000,180
128.778989000,306
128.978867000,180
129.179128000,306
133.677509000,180
133.878510000,306
134.078638000,432
138.672468000,180
138.778153000,306
138.978282000,432
143.685917000,202
143.877930000,476
144.077432000,180
144.277807000,498
144.477935000,558
148.212287000,180
148.377186000,306
148.650896000,180
148.777199000,306
153.465090000,202
153.576647000,202
153.777151000,684
153.976654000,306
154.176532000,180
158.224077000,180
158.376227000,306
158.678418000,180
158.876173000,306
163.642774000,180
163.775691000,306
163.975699000,306
164.175447000,180
168.649849000,180
168.777278000,306
168.977279000,306
169.178028000,180
171.398676000,202
171.577942000,328
171.777824000,180
173.660425000,180
173.777731000,306
173.977737000,306
174.177484000,180
178.690863000,180
178.876375000,306
179.077252000,306
179.277006000,180
183.682200000,180
183.876707000,306
184.076845000,306
184.276463000,180
188.693275000,180
188.875795000,306
189.076292000,306
189.276052000,180
193.703734000,180
193.875746000,306
194.075750000,306
194.274753000,180
198.611489000,180
198.775397000,306
198.975406000,306
199.175147000,180
203.220940000,202
203.375090000,476
203.574843000,306
203.775096000,498
203.974725000,180
204.173979000,306
208.633640000,180
208.775429000,306
208.975431000,306
209.175186000,180
213.241461000,180
213.375004000,306
213.575142000,476
213.775135000,432
213.974764000,180
218.655166000,180
218.776467000,306
218.976220000,180
219.176348000,306
223.667369000,180
223.775923000,306
223.975803000,180
224.175931000,306
224.831907000,162
228.706549000,180
228.875451000,306
229.075449000,306
229.275202000,180
231.403782000,202
231.575438000,454
233.688266000,180
233.875028000,306
234.075031000,306
234.274783000,180
238.610899000,180
238.774546000,306
238.974550000,306
239.174302000,180
243.209975000,180
243.374122000,306
243.662322000,180
243.773128000,306
248.719994000,180
248.873530000,306
249.073653000,306
249.273414000,180
253.644871000,180
253.773043000,306
253.973052000,306
254.172928000,180
258.005841000,180
258.172748000,306
258.693673000,180
258.872564000,306
263.237033000,202
263.372325000,476
263.572079000,306
263.772382000,498
263.971460000,432
268.060347000,180
268.171655000,306
268.714074000,180
268.871603000,306
273.486551000,202
273.671438000,454
273.871437000,432
274.071198000,306
274.270069000,180
278.634912000,180
278.770705000,306
278.969958000,306
279.170599000,180
283.710198000,180
283.870225000,306
284.070353000,432
288.719649000,180
288.871806000,306
289.072685000,306
289.272563000,180
291.409766000,202
291.572537000,328
291.772291000,180
293.713235000,180
293.872269000,306
294.072391000,432
298.576776000,180
298.770913000,306
298.971785000,306
299.171538000,180
303.239188000,180
303.371490000,306
303.688540000,180
303.871303000,306
308.646522000,180
308.770822000,306
308.970700000,180
309.170828000,306
313.657348000,180
313.770404000,306
313.969907000,180
314.169411000,306
318.668173000,180
318.907902000,306
319.083051000,432
323.680622000,202
323.869633000,476
324.069136000,750
324.287878000,432
328.696447000,180
328.868716000,180
329.069219000,558
333.190336000,180
333.368477000,306
333.568480000,350
333.768609000,432
333.968488000,306
338.612286000,180
338.770072000,306
338.969949000,306
339.169697000,180
343.172887000,180
343.369516000,306
343.684325000,180
343.869461000,306
348.632188000,180
348.768980000,306
348.968984000,306
349.168866000,180
351.430860000,202
351.568533000,202
351.768779000,306
353.713721000,180
353.868502000,306
354.068631000,432
358.650591000,180
358.788507000,180
358.968023000,306
359.168032000,306
363.661292000,180
363.798958000,180
363.967861000,558
368.671498000,180
368.867124000,306
369.067252000,432
373.683068000,180
373.866581000,306
374.066710000,432
378.646422000,180
378.766224000,306
378.965978000,180
379.166106000,306
383.190782000,202
383.365925000,476
383.565679000,306
384.015279000,202
384.166068000,602
384.364714000,180
388.715795000,180
388.865203000,306
389.065207000,306
389.264964000,180
393.488515000,202
393.664783000,328
393.864536000,180
394.065295000,558
394.264543000,180
394.464545000,180
398.192158000,180
398.363424000,306
398.693723000,180
398.864243000,306
403.250199000,180
403.363629000,180
403.563508000,180
403.763765000,306
403.963515000,180
408.013424000,180
408.163334000,306
408.721870000,180
408.863283000,306
411.406241000,202
411.562015000,202
411.763142000,306
413.676734000,180
413.862740000,306
414.062749000,306
414.262501000,180
418.635090000,180
418.762384000,306
418.962143000,180
419.162266000,306
423.697880000,180
423.861780000,306
424.061783000,306
424.261661000,180
428.661116000,180
428.861369000,306
429.061491000,432
433.173364000,180
433.361144000,306
433.672573000,180
433.860077000,306
438.632546000,180
